step 14940 	 return [0.00278033 0.00403993 0.00099689], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 2.008E-02 	 horizons 9.0
step 15030 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 8.150E-03 	 horizons 9.0
step 15120 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.444E-02 	 horizons 9.0
step 15210 	 return [0.00368369 0.00330189 0.00098215], ([4.6566129e-10 2.3283064e-10 1.1641532e-10]) 	 loss 1.128E-02 	 horizons 9.0
step 15300 	 return [0.00400317 0.00253879 0.0011739 ], ([0.00038642 0.00029886 0.00012855]) 	 loss 1.574E-02 	 horizons 9.0
step 15390 	 return [0.00420037 0.00231931 0.00119767], ([2.2552602e-04 4.3745849e-06 3.5228793e-06]) 	 loss 1.781E-02 	 horizons 9.0
step 15480 	 return [0.00279774 0.0035163  0.00099364], ([5.8024420e-06 1.7454161e-04 1.0835007e-06]) 	 loss 2.056E-02 	 horizons 9.0
step 15570 	 return [0.00288731 0.00343883 0.0009916 ], ([2.6546960e-04 4.6942852e-05 3.5793387e-06]) 	 loss 1.355E-02 	 horizons 9.0
step 15660 	 return [0.00279387 0.00363267 0.00099436], ([8.8633769e-06 2.6661670e-04 1.6550747e-06]) 	 loss 1.848E-02 	 horizons 9.0
step 15750 	 return [0.00443599 0.00314108 0.00092616], ([4.6566129e-10 2.3283064e-10 5.8207661e-11]) 	 loss 1.810E-02 	 horizons 9.0
step 15840 	 return [0.00278807 0.00380721 0.00099545], ([9.4753486e-06 2.8502525e-04 1.7693492e-06]) 	 loss 1.808E-02 	 horizons 9.0
step 15930 	 return [0.         0.0046674  0.00577821], ([0.         0.00038149 0.00042887]) 	 loss 1.421E-02 	 horizons 9.0
step 16020 	 return [0.00278033 0.00403993 0.00099689], ([2.3283064e-10 4.6566129e-10 0.0000000e+00]) 	 loss 2.197E-02 	 horizons 9.0
step 16110 	 return [0.00365737 0.0032633  0.00097703], ([7.89360129e-05 1.15767514e-04 1.53653727e-05]) 	 loss 2.058E-02 	 horizons 9.0
step 16200 	 return [0.         0.00497888 0.00542805], ([0. 0. 0.]) 	 loss 2.217E-02 	 horizons 9.0
step 16290 	 return [0.         0.00490101 0.00551559], ([0.         0.00023362 0.00026263]) 	 loss 1.025E-02 	 horizons 9.0
step 16380 	 return [0.0043457  0.00307348 0.00096085], ([0.00027086 0.00020282 0.00010409]) 	 loss 1.293E-02 	 horizons 9.0
